frame,x_m,y_m,z_m
2.000000,0.000000,0.000000,0.000000
4.000000,0.038931,-0.029151,-0.003530
6.000000,0.052555,-0.033352,-0.005442
8.000000,0.062917,-0.042894,-0.007423
10.000000,0.051033,-0.036944,-0.002892
12.000000,0.079743,-0.052971,-0.007204
14.000000,0.054269,-0.036797,-0.001633
16.000000,0.041176,-0.032180,0.001914
18.000000,0.040823,-0.031718,0.004401
20.000000,0.010205,-0.015579,0.012035
22.000000,-0.006787,-0.009519,0.014108
24.000000,-0.006493,-0.009862,0.012890
26.000000,-0.003076,-0.008462,0.012815
28.000000,-0.004087,-0.012524,0.014158
30.000000,-0.000457,-0.015932,0.009003
32.000000,0.025321,-0.016781,0.018487
34.000000,0.044879,-0.011651,0.038086
36.000000,0.050556,0.003199,0.093212
38.000000,0.075375,0.015380,0.161992
40.000000,0.107452,0.021033,0.254178
42.000000,0.130185,0.038594,0.395181
44.000000,0.119574,0.047245,0.574119
46.000000,0.106386,0.066047,0.733219
48.000000,0.102657,0.068594,0.923138
50.000000,0.093765,0.055294,1.091804
52.000000,0.079543,0.048489,1.168925
54.000000,0.079235,0.023644,1.295031
56.000000,0.058396,0.005763,1.366630
58.000000,0.051533,0.001869,1.350276
60.000000,0.052300,-0.002093,1.348429
62.000000,0.051961,0.000583,1.409131
64.000000,0.050759,-0.006444,1.371902
66.000000,0.081735,-0.020428,1.435782
68.000000,0.094776,-0.027246,1.478953
70.000000,0.094628,-0.031510,1.461334
72.000000,0.100380,-0.036179,1.423351
74.000000,0.124020,-0.048576,1.388962
76.000000,0.154788,-0.055946,1.434424
78.000000,0.185349,-0.071016,1.495505
80.000000,0.224828,-0.088681,1.541103
82.000000,0.273894,-0.111450,1.463806
84.000000,0.316915,-0.116054,1.423505
86.000000,0.395593,-0.118609,1.468431
88.000000,0.464520,-0.121408,1.501001
90.000000,0.517523,-0.119025,1.473999
92.000000,0.544375,-0.100162,1.552942
94.000000,0.587648,-0.084352,1.581692
96.000000,0.676488,-0.105689,1.449016
98.000000,0.786631,-0.113460,1.420918
100.000000,0.861409,-0.132862,1.462665
102.000000,0.946261,-0.146666,1.522322
104.000000,1.034576,-0.167146,1.546714
106.000000,1.096968,-0.160276,1.568178
108.000000,1.135899,-0.156699,1.573760
110.000000,1.183715,-0.147574,1.592255
112.000000,1.270295,-0.144893,1.520642
114.000000,1.353953,-0.152028,1.501427
116.000000,1.453668,-0.169957,1.548731
118.000000,1.496075,-0.173246,1.549607
120.000000,1.569059,-0.182451,1.530189
122.000000,1.598432,-0.190915,1.516987
124.000000,1.640983,-0.215131,1.486452
126.000000,1.644944,-0.216191,1.533220
128.000000,1.698809,-0.239883,1.541996
130.000000,1.700981,-0.250913,1.564499
132.000000,1.729817,-0.271232,1.554833
134.000000,1.746761,-0.276369,1.544860
136.000000,1.816823,-0.282342,1.520771
138.000000,1.880643,-0.296811,1.457788
140.000000,1.918456,-0.312196,1.446220
142.000000,1.966621,-0.308520,1.480082
144.000000,2.058749,-0.313313,1.532537
146.000000,2.089274,-0.309130,1.560043
148.000000,2.152806,-0.317231,1.533653
150.000000,2.206894,-0.323969,1.555621
152.000000,2.247079,-0.329381,1.518551
154.000000,2.320797,-0.326310,1.482074
156.000000,2.346439,-0.321940,1.413324
158.000000,2.345173,-0.318163,1.401803
160.000000,2.427695,-0.321583,1.475988
162.000000,2.387047,-0.300958,1.509656
164.000000,2.367450,-0.285567,1.485025
166.000000,2.398621,-0.284157,1.411318
168.000000,2.446640,-0.289923,1.326768
170.000000,2.522502,-0.284742,1.311625
172.000000,2.554361,-0.279778,1.357623
174.000000,2.619765,-0.262035,1.395992
176.000000,2.634326,-0.252581,1.347176
178.000000,2.720473,-0.262785,1.312066
180.000000,2.783662,-0.274885,1.354277
182.000000,2.853369,-0.278276,1.308779
184.000000,2.942505,-0.296112,1.261318
186.000000,2.990727,-0.331820,1.302406
188.000000,3.034870,-0.346873,1.317804
190.000000,3.140612,-0.363962,1.355695
192.000000,3.150738,-0.379629,1.399221
194.000000,3.181815,-0.398680,1.400372
196.000000,3.194164,-0.413274,1.408434
198.000000,3.204437,-0.434398,1.392073
200.000000,3.231887,-0.459076,1.348780
202.000000,3.270868,-0.474042,1.312427
204.000000,3.359714,-0.501496,1.296013
206.000000,3.410312,-0.525748,1.292865
208.000000,3.454454,-0.537710,1.299922
210.000000,3.532372,-0.546164,1.334191
212.000000,3.573166,-0.555924,1.402557
214.000000,3.564946,-0.566482,1.396074
216.000000,3.581870,-0.566797,1.350939
218.000000,3.623733,-0.586998,1.305916
220.000000,3.635070,-0.593429,1.255993
222.000000,3.649263,-0.608886,1.242809
224.000000,3.748708,-0.616865,1.272142
226.000000,3.757413,-0.632926,1.328113
228.000000,3.778858,-0.643737,1.359776
230.000000,3.825091,-0.659024,1.427599
232.000000,3.882544,-0.667437,1.508522
234.000000,3.948009,-0.690081,1.427650
236.000000,3.951443,-0.705434,1.384763
238.000000,3.975813,-0.708413,1.415771
240.000000,3.971394,-0.706594,1.371747
242.000000,3.985115,-0.696778,1.361733
244.000000,4.026988,-0.710377,1.425643
246.000000,4.093022,-0.710988,1.470261
248.000000,4.114803,-0.722236,1.412778
250.000000,4.163244,-0.727504,1.346524
252.000000,4.183850,-0.743201,1.300161
254.000000,4.232580,-0.745398,1.347406
256.000000,4.238584,-0.745856,1.296887
258.000000,4.275510,-0.755037,1.350714
260.000000,4.326517,-0.755847,1.409949
262.000000,4.351551,-0.758808,1.403327
264.000000,4.371101,-0.754782,1.394152
266.000000,4.405899,-0.769529,1.362164
268.000000,4.474527,-0.773131,1.265275
270.000000,4.508120,-0.782660,1.268307
272.000000,4.521071,-0.778724,1.246245
274.000000,4.549694,-0.778392,1.281297
276.000000,4.586838,-0.784560,1.283000
278.000000,4.646173,-0.794892,1.251427
280.000000,4.722668,-0.816907,1.227419
282.000000,4.753083,-0.841553,1.187647
284.000000,4.820452,-0.857591,1.136008
286.000000,4.838507,-0.873030,1.113330
288.000000,4.887210,-0.890488,1.109410
290.000000,4.948222,-0.904625,1.137460
292.000000,4.976059,-0.917365,1.190464
294.000000,5.013756,-0.934841,1.148597
296.000000,5.040359,-0.944024,1.082439
298.000000,5.095540,-0.946262,1.015515
300.000000,5.139418,-0.958529,0.978330
302.000000,5.211525,-0.955232,0.988692
304.000000,5.268892,-0.958789,0.973641
306.000000,5.317132,-0.965473,0.991512
308.000000,5.376229,-0.977731,1.021962
310.000000,5.405796,-0.978597,0.979967
312.000000,5.459248,-0.983041,0.914159
314.000000,5.506000,-0.990766,0.851210
316.000000,5.551471,-0.992834,0.834538
318.000000,5.594217,-0.992221,0.857483
320.000000,5.631373,-0.993475,0.841511
322.000000,5.666614,-0.988985,0.878137
324.000000,5.718833,-1.004553,0.893162
326.000000,5.762507,-1.014248,0.892293
328.000000,5.835145,-1.018697,0.859696
330.000000,5.871508,-1.036380,0.824358
332.000000,5.902496,-1.048377,0.818694
334.000000,5.940495,-1.054249,0.806917
336.000000,5.972031,-1.064452,0.787931
338.000000,6.026529,-1.055700,0.800015
340.000000,6.051825,-1.037306,0.815939
342.000000,6.101669,-1.058599,0.774050
344.000000,6.200965,-1.080510,0.785796
346.000000,6.250645,-1.099842,0.744659
348.000000,6.282670,-1.112922,0.739578
350.000000,6.337889,-1.125807,0.779523
352.000000,6.387477,-1.139678,0.788579
354.000000,6.412676,-1.152749,0.798567
356.000000,6.451728,-1.165552,0.799976
358.000000,6.477543,-1.170355,0.780023
360.000000,6.502466,-1.184694,0.703001
362.000000,6.528269,-1.201991,0.685348
364.000000,6.566937,-1.226519,0.684694
366.000000,6.592654,-1.232017,0.668976
368.000000,6.636710,-1.232412,0.646379
370.000000,6.664265,-1.223391,0.682801
372.000000,6.710101,-1.212009,0.692159
374.000000,6.739129,-1.221620,0.661642
376.000000,6.777630,-1.231062,0.614867
378.000000,6.804503,-1.230320,0.616148
380.000000,6.838796,-1.229153,0.595456
382.000000,6.879169,-1.225451,0.610930
384.000000,6.912933,-1.224339,0.607496
386.000000,6.965177,-1.219010,0.594021
388.000000,7.033100,-1.239619,0.605826
390.000000,7.069356,-1.241105,0.604744
392.000000,7.141639,-1.220879,0.565720
394.000000,7.201250,-1.225602,0.609438
396.000000,7.308361,-1.230682,0.543315
398.000000,7.395803,-1.297526,0.536112
400.000000,7.456835,-1.323492,0.534655
402.000000,7.514206,-1.315312,0.522610
404.000000,7.566240,-1.335791,0.566551
406.000000,7.612884,-1.355746,0.566479
408.000000,7.643160,-1.309411,0.581070
410.000000,7.670817,-1.318189,0.541592
412.000000,7.695996,-1.271151,0.553411
414.000000,7.729070,-1.285929,0.532359
416.000000,7.766838,-1.308740,0.507972
418.000000,7.800283,-1.265978,0.499764
