frame,x_m,y_m,z_m
2.000000,0.000000,0.000000,0.000000
4.000000,-0.006421,0.011889,0.001484
6.000000,-0.011925,0.006893,-0.002029
8.000000,-0.005113,0.011052,0.000315
10.000000,-0.003072,0.007825,0.010744
12.000000,0.009433,0.008825,0.020664
14.000000,0.007110,0.016148,0.015392
16.000000,0.009874,0.010540,0.021896
18.000000,0.025703,-0.001802,0.027817
20.000000,0.035528,0.005982,0.034940
22.000000,0.032232,0.014656,0.037690
24.000000,0.043822,0.005737,0.048216
26.000000,0.044809,0.018271,0.050570
28.000000,0.052524,0.009525,0.059279
30.000000,0.060402,0.000549,0.061859
32.000000,0.071144,-0.002226,0.071724
34.000000,0.077642,-0.012035,0.078623
36.000000,0.075589,-0.006351,0.081675
38.000000,0.087373,-0.027433,0.085912
40.000000,0.092523,-0.029775,0.089499
42.000000,0.094738,-0.035856,0.075089
44.000000,0.116877,-0.039946,0.098287
46.000000,0.146833,-0.033769,0.123228
48.000000,0.190992,-0.056187,0.124964
50.000000,0.210829,-0.076247,0.127949
52.000000,0.228335,-0.100398,0.145789
54.000000,0.236591,-0.100152,0.143399
56.000000,0.255591,-0.135092,0.150252
58.000000,0.266921,-0.125747,0.160943
60.000000,0.277990,-0.132166,0.157868
62.000000,0.288211,-0.130606,0.157529
64.000000,0.314194,-0.141888,0.169750
66.000000,0.350189,-0.137044,0.203825
68.000000,0.413344,-0.180167,0.191575
70.000000,0.418206,-0.184480,0.209432
72.000000,0.450323,-0.183227,0.212047
74.000000,0.455988,-0.202800,0.189453
76.000000,0.463303,-0.207000,0.194682
78.000000,0.479247,-0.236427,0.184957
80.000000,0.490259,-0.261736,0.184026
82.000000,0.544194,-0.264174,0.194751
84.000000,0.574954,-0.282795,0.203121
86.000000,0.623761,-0.331676,0.175915
88.000000,0.629693,-0.321416,0.214006
90.000000,0.654374,-0.309424,0.181910
92.000000,0.710562,-0.280311,0.218210
94.000000,0.725282,-0.303387,0.216351
96.000000,0.763246,-0.296822,0.221838
98.000000,0.802540,-0.308394,0.217666
100.000000,0.838917,-0.333014,0.223458
102.000000,0.900199,-0.359168,0.201640
104.000000,0.937525,-0.354269,0.203929
106.000000,0.993516,-0.363040,0.201553
108.000000,1.078536,-0.365439,0.256519
110.000000,1.089587,-0.369245,0.265881
112.000000,1.125093,-0.384279,0.271746
114.000000,1.149594,-0.378822,0.295327
116.000000,1.184977,-0.382904,0.322231
118.000000,1.218817,-0.408472,0.307327
120.000000,1.250309,-0.414923,0.327335
122.000000,1.270112,-0.434117,0.323484
124.000000,1.334872,-0.453388,0.328601
126.000000,1.404935,-0.458462,0.337817
128.000000,1.443861,-0.483465,0.327780
130.000000,1.498215,-0.488375,0.345600
132.000000,1.548189,-0.478852,0.373489
134.000000,1.600033,-0.500886,0.429013
136.000000,1.682929,-0.500318,0.408092
138.000000,1.777383,-0.522870,0.412696
140.000000,1.804287,-0.519505,0.426474
142.000000,1.862372,-0.527956,0.421564
144.000000,1.898054,-0.536252,0.420003
146.000000,1.942830,-0.539831,0.435698
148.000000,2.006028,-0.546585,0.445564
150.000000,2.063660,-0.554850,0.439260
152.000000,2.138174,-0.553460,0.465600
154.000000,2.171308,-0.549515,0.469540
156.000000,2.223421,-0.548812,0.463233
158.000000,2.261664,-0.548686,0.481978
160.000000,2.301682,-0.531623,0.492856
162.000000,2.355078,-0.523411,0.511227
164.000000,2.421555,-0.531103,0.518343
